ont-Cshl-Smarter	Brain	1746453	polyAread	All
ont-Cshl-Smarter	Brain	3452865	common	All
ont-Cshl-Smarter	Brain	813442	polyAsites	All
ont-Crg-CapTrap	Brain	4580736	polyAread	All
ont-Crg-CapTrap	Brain	5187052	common	All
ont-Crg-CapTrap	Brain	1254885	polyAsites	All
ont-Crg-Telop	Brain	2431364	polyAread	All
ont-Crg-Telop	Brain	3782756	common	All
ont-Crg-Telop	Brain	745311	polyAsites	All
ont-Crg-dRNA	Brain	399	polyAread	All
ont-Crg-dRNA	Brain	2610	common	All
ont-Crg-dRNA	Brain	51625	polyAsites	All
ont-Cshl-Smarter	Brain	744645	polyAread	Spliced
ont-Cshl-Smarter	Brain	746580	common	Spliced
ont-Cshl-Smarter	Brain	171565	polyAsites	Spliced
ont-Crg-CapTrap	Brain	4321629	polyAread	Spliced
ont-Crg-CapTrap	Brain	4888397	common	Spliced
ont-Crg-CapTrap	Brain	819806	polyAsites	Spliced
ont-Crg-Telop	Brain	1383364	polyAread	Spliced
ont-Crg-Telop	Brain	2132027	common	Spliced
ont-Crg-Telop	Brain	270412	polyAsites	Spliced
ont-Crg-dRNA	Brain	16	polyAread	Spliced
ont-Crg-dRNA	Brain	774	common	Spliced
ont-Crg-dRNA	Brain	17035	polyAsites	Spliced
