SIRV101	1591	1
SIRV102	1330	0.25
SIRV103	1393	1
SIRV105	700	4
SIRV106	1003	1
SIRV107	774	4
SIRV109	494	0.03125
SIRV201	2081	0.25
SIRV202	2001	4
SIRV203	716	0.5
SIRV204	770	1
SIRV205	553	0.03125
SIRV206	454	0.25
SIRV301	2497	4
SIRV302	1837	0.03125
SIRV303	2048	1
SIRV304	1113	0.03125
SIRV305	466	0.25
SIRV306	2403	0.25
SIRV307	809	1
SIRV308	509	4
SIRV309	826	0.25
SIRV310	619	0.03125
SIRV311	191	4
SIRV403	700	0.03125
SIRV404	622	1
SIRV405	656	0.03125
SIRV406	647	4
SIRV408	600	0.03125
SIRV409	1597	0.25
SIRV410	980	4
SIRV501	1920	0.25
SIRV502	2014	0.03125
SIRV503	556	0.25
SIRV504	2503	0.25
SIRV505	2059	1
SIRV506	582	1
SIRV507	563	0.03125
SIRV508	2115	4
SIRV509	915	0.25
SIRV510	2504	0.03125
SIRV511	576	0.03125
SIRV512	259	0.25
SIRV601	1465	0.03125
SIRV602	604	4
SIRV603	1999	0.03125
SIRV604	1567	1
SIRV605	1118	0.25
SIRV606	575	0.25
SIRV607	604	1
SIRV608	407	0.25
SIRV609	515	1
SIRV610	1193	0.25
SIRV611	484	0.03125
SIRV612	1558	4
SIRV613	1341	1
SIRV614	489	0.25
SIRV615	813	0.25
SIRV616	561	4
SIRV617	306	1
SIRV618	219	0.03125
SIRV701	2492	0.25
SIRV702	2277	0.03125
SIRV703	2528	0.03125
SIRV704	458	0.03125
SIRV705	2492	1
SIRV706	979	1
SIRV708	919	1
